image name,Object_Type,distance,Location_Zone,Illumination
a3a9173b-cbdc-41fe-bc5d-3dfb6f8dec5e.png,Clear Path,3.2764904499053955,Home Office,Dim
f4e9acca-e50f-48d9-b6d2-247bdf7975e8.png,Clear Path,2.788393259048462,Corridor,Dark
2571812c-24c3-438c-baca-e02cec49d213.png,Structural,2.744184255599976,Living Room,Dim
3d5e66e7-da5f-44be-879d-75a5ad7c62a4.png,Clear Path,1.0670868158340454,Home Office,Dim
ab576c52-d86d-45a9-b4ed-be35cf6cde1f.png,Small/Low Obstacle,3.266429662704468,Corridor,Dim
10417a74-f9cb-44eb-a497-40d4a85e2760.png,Elevation Change,2.773655652999878,Corridor,Dark
f00cb7ea-e1f3-48fe-b544-95101f3c7e78.png,Small/Low Obstacle,1.5488044023513794,Kitchen,Dim
8f958a76-938b-4c10-a029-13f8afac508b.png,Clear Path,3.862051963806152,Living Room,Dark
0f90030c-b5ac-4a7d-a3de-9837c30a507d.png,Clear Path,2.2545371055603027,Living Room,Bright
e2d5ca65-5634-409e-8f33-74fa13fb7ee5.png,Clear Path,4.7354512214660645,Living Room,Dim
c02235df-447c-4181-bdaf-1b11a31e6b64.png,Small/Low Obstacle,2.1219515800476074,Corridor,Bright
0adbe36e-6e6a-4fd2-ac77-1bb8faf47b3c.png,Clear Path,3.503726005554199,Corridor,Dark
db70b37f-7dce-430e-bb33-c44eff883ff4.png,Structural,2.60882830619812,Home Office,Bright
c353e765-9ab7-46ad-8d82-a4b9ee439335.png,Clear Path,3.789443254470825,Corridor,Dim
3b1ab05b-1940-427c-b56c-0644f6cf911d.png,Structural,2.554742813110352,Corridor,Bright
fbae95a0-7970-4460-bf14-3485e09b4117.png,Clear Path,5.132116794586182,Corridor,Dim
e9cb0c96-2c71-4d45-ba1e-385f6166e8c0.png,Structural,2.7782914638519287,Corridor,Dark
db8d79ed-1c3d-479e-aa03-5462936f11ed.png,Structural,1.717013597488403,Kitchen,Bright
1ed58dba-8055-44dc-8392-ba57669efc21.png,Structural,3.369145393371582,Corridor,Dim
dd065e40-01ff-41ee-9f53-fca6965179f4.png,Clear Path,3.1476404666900635,Corridor,Dark
6cef9d3f-2de9-4314-91ea-4aab981d9e0e.png,Elevation Change,1.3668930530548096,Home Office,Dim
ae506ff7-461b-48f0-b7bf-a4cd320172fd.png,Clear Path,3.637264013290405,Living Room,Bright
4c895c79-5edc-4ab1-aea2-0857a05c33ab.png,Elevation Change,1.8198766708374023,Kitchen,Bright
66977149-0665-48ee-9de5-5aa96fc1f620.png,Large Obstacle,3.103937149047852,Living Room,Dark
dc14f00d-6458-480e-bc49-100cbf7d4a78.png,Large Obstacle,1.6503998041152954,Corridor,Bright
31b39d24-0cd1-4ef3-af01-ba38abd3c2f2.png,Small/Low Obstacle,1.1885920763015747,Kitchen,Bright
6fc196b8-e9a2-4707-96f2-0ead1f3c2cdc.png,Large Obstacle,2.889355421066284,Living Room,Bright
936db6ab-5d45-4b30-b8b9-989684127c4c.png,Structural,3.5683586597442627,Corridor,Dim
c031f899-5b1a-4c22-8644-165b18d13f73.png,Small/Low Obstacle,1.862970352172852,Living Room,Bright
d9425fbb-2cce-46ef-9776-44a4517b8783.png,Clear Path,3.033732414245605,Living Room,Bright
6566e066-4d68-4a6b-a0c0-367fc37214d0.png,Structural,3.108714818954468,Corridor,Dim
88037697-caf9-48da-a25e-2c9628ef9e82.png,Large Obstacle,2.4146206378936768,Living Room,Bright
4e0b33f2-b980-4904-a1fe-654aad26f2d7.png,Large Obstacle,4.332167625427246,Living Room,Dim
75a6406e-2ae2-4f70-8162-9c63ac63d8ee.png,Small/Low Obstacle,1.154178023338318,Kitchen,Bright
6bbf616e-f02f-4a28-93a5-d257b415d214.png,Structural,2.855771541595459,Living Room,Dark
ba3adaef-45c5-4d34-98c0-5f19dfd97508.png,Clear Path,4.296000480651856,Home Office,Dark
f2b7f84b-6104-4615-a3af-88e01a3c7d05.png,Structural,2.066897392272949,Kitchen,Bright
177c2ad3-5a27-4460-9d70-c482f3b30b84.png,Small/Low Obstacle,2.166804075241089,Corridor,Dim
1d69f54b-aa05-4639-a2d9-1f0b0e80180a.png,Structural,3.000617027282715,Living Room,Dark
54488d68-a562-4edb-a40d-3dc1ec83e008.png,Structural,2.040872812271118,Corridor,Dim
047b757c-ad1c-49f7-8f5d-2f20cc40e26e.png,Structural,2.6861231327056885,Corridor,Bright
f01a198e-c334-4ac6-a3d5-5b9f6c2dd5bc.png,Clear Path,2.9544122219085693,Kitchen,Dim
96c4eaa7-39ab-4b74-88ca-bb98c6ee6f78.png,Clear Path,1.9646884202957156,Living Room,Dark
d3beb152-5f1d-49a4-875b-67700159c99b.png,Elevation Change,2.654087781906128,Living Room,Bright
23141c20-a336-4fc1-9e7d-aefad87e7979.png,Clear Path,2.969392776489258,Kitchen,Bright
f6018ffe-3cb3-4af1-972b-d16ef67ce4e5.png,Clear Path,2.876511335372925,Living Room,Bright
282d2fa5-1e75-4573-a5a0-04689f8591ba.png,Large Obstacle,2.0949277877807617,Living Room,Dim
28a6292a-d447-4920-b762-a1f23daa1f94.png,Small/Low Obstacle,1.4908881187438965,Corridor,Bright
4021cc13-92dc-499e-b3cc-f60128278e72.png,Large Obstacle,1.5952842235565186,Corridor,Bright
92a566dc-b99c-4842-a232-8052080ba625.png,Clear Path,3.641260862350464,Living Room,Dim
f0f430e1-44e0-45ad-805f-ba3c425ab321.png,Small/Low Obstacle,1.912407636642456,Living Room,Dim
e4f9e4d1-67a6-4267-89e8-b48d26bc7c97.png,Structural,3.5548837184906006,Living Room,Dim
908a75de-6cf8-4e05-a9df-a2e635c50538.png,Large Obstacle,1.481576442718506,Living Room,Dim
